mol,smiles
mol175,C1(=CC2C3C=CC=CC=3N(CCOC3=CC(C)=CC(C)=C3)C=2)C(=O)NN(C2=CC=CC=C2)C1=O
mol176,C(OCC1C=CC(=CC=1)OC)(=O)N/N=C(\C)/CC(=O)NC1C=CC2=C(C=CC=C2)C=1
mol177,C12NN=C(CC)C=1C(C(C#N)=C(N)O2)C1=CC=C(C=C1)OC(F)F
mol178,S(=O)(=O)(C1C=CC(=CC=1)N(=O)=O)NCC(=O)NCC(=O)N/N=C(\C)/C
mol179,S(=O)(=O)(C1C=CC(=CC=1)C)N1CCN(CC1C)C1=CC=C(C=C1)N(=O)=O
mol180,C(=O)(C1C=CC=C(C=1)OC(NCCCC(C)C)=S)NC1C=CC(=CC=1)OCC
mol181,N1(C2C=CC(=CC=2)OC)C(=O)C2C=CC=CC=2N=C1C=C1C2C=CC=CC=2N(CC)C1=O
mol182,S(C1C=CC=CC=1)(=O)(=O)N(C1=CC=C(C=C1)OCC)CC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCC1=CC=C(C=C1)Cl
mol183,N1(C2C=CC=CC=2)C(C2C=CC=CC=2)=C(C=C1C1C=CC=CC=1)/C=C1\C(=O)NC(NC\1=O)=O
mol184,C(=O)(C1C=CC=C(C=1)OC(NCC1C=CC=CC=1)=S)NC1=CC=C(C=C1)OCC
mol185,S(=O)(=O)(C1C=CC(=CC=1)C)NCC(=O)NCC(=O)N/N=C/C1C=CC=C(C=1)N(=O)=O
mol186,C(NCCC(C1=CC=CC=C1)C1C=CC=CC=1)(=S)NC1C=CC(=CC=1)OC
mol187,N(=O)(=O)C1C(OC)=CC=C(C=1)C(=O)NC(=S)NC1=CC=C(C=N1)Br
mol188,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCC1C=CC(=CC=1)Cl
mol189,C1(C#N)C(C2=CC=CN=C2)C2C=C(CCCCCC)C(=CC=2OC=1N)O
mol190,C1(SC2=C(C=CC(=C2)N(=O)=O)N=1)NC(=O)C1C2=CC=CC=C2N=C(C2=CC=CC=C2)C=1
mol191,C1(=CC2=CC=C(C(OCC)=C2)OCCOC2C=CC(=CC=2OC)CC=C)C(=O)NN(C2C=CC=CC=2)C1=O
mol192,S(C1C=CC=CC=1)(=O)(=O)N(CC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCC1C=CC(=CC=1)Cl)C1C=CC=CC=1OC
mol193,N(=O)(=O)C1=CC=CC=C1C1=CC=C(C(=O)NC2=C(OC)C=C(C(OC)=C2)Cl)O1
mol194,S(=O)(=O)(C1C=CC(=CC=1)F)NC1=CC=C(C(F)=C1)F
mol195,S(C1C=CC=CC=1)(=O)(=O)N(C1C=CC(=CC=1)OCC)CC(=O)N/N=C(\C)/C1C=CC(=CC=1)I
mol196,C(=O)(C1C=CC=C(F)C=1)NC1=CC=C(C=C1)CCCC
mol197,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=CC(Cl)=C1)CC(=O)N/N=C(\C)/C1C=CC(=CC=1)I
